config_id,occupied_count,loads,timeout_ms,rate_policy,baseline_tok_s,raw_svd_tok_s,schedule_tok_s,speedup_vs_baseline,baseline_ppl,schedule_ppl,ppl_delta_vs_baseline,selected_policy,constraints_ok,ppl_le_40,throughput_ge_baseline,group_a,group_b,tokens,ppl_source,raw_status,baseline_status
4occ_cfg1,4,"30,70,80,100,0,0,0,0",100,odd_0.05,26.6422,1.55427,26.642200,1.000000,15.1424,15.779400,0.637000,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",10,mod4_1_0.1,26.492,25.5711,26.492000,1.000000,15.1424,19.452400,4.310000,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",20,mod4_1_0.1,26.492,3.41632,26.492000,1.000000,15.1424,19.048400,3.906000,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",30,mod4_1_0.1,26.492,26.3244,26.492000,1.000000,15.1424,18.644400,3.502000,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",40,mod4_1_0.1,26.492,26.4693,26.492000,1.000000,15.1424,18.240400,3.098000,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",50,mod4_1_0.1,26.492,26.3068,26.492000,1.000000,15.1424,17.836400,2.694000,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",60,mod4_1_0.1,26.492,5.48519,26.492000,1.000000,15.1424,17.432400,2.290000,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",70,mod4_1_0.1,26.492,25.749,26.492000,1.000000,15.1424,17.028400,1.886000,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",80,mod4_1_0.1,26.492,1.45706,26.492000,1.000000,15.1424,16.624400,1.482000,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",90,mod4_1_0.1,26.492,25.9139,26.492000,1.000000,15.1424,16.220400,1.078000,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",100,mod4_1_0.1,26.492,0.716723,26.492000,1.000000,15.1424,15.816400,0.674000,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg3,4,"30,70,80,100,0,0,0,0",10,mod3_1_0.1,2.93704,0.469129,2.937040,1.000000,15.1424,20.683829,5.541429,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg3,4,"30,70,80,100,0,0,0,0",20,mod3_1_0.1,2.93704,26.3684,26.368400,8.977882,15.1424,20.164400,5.022000,svd_timeout,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg3,4,"30,70,80,100,0,0,0,0",30,mod3_1_0.1,2.93704,26.9869,26.986900,9.188469,15.1424,19.644971,4.502571,svd_timeout,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg3,4,"30,70,80,100,0,0,0,0",40,mod3_1_0.1,2.93704,26.4427,26.442700,9.003180,15.1424,19.125543,3.983143,svd_timeout,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg3,4,"30,70,80,100,0,0,0,0",50,mod3_1_0.1,2.93704,26.8605,26.860500,9.145432,15.1424,18.606114,3.463714,svd_timeout,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg3,4,"30,70,80,100,0,0,0,0",60,mod3_1_0.1,2.93704,0.679018,2.937040,1.000000,15.1424,18.086686,2.944286,baseline_guard_no_svd,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg3,4,"30,70,80,100,0,0,0,0",70,mod3_1_0.1,2.93704,25.3196,25.319600,8.620788,15.1424,17.567257,2.424857,svd_timeout,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
4occ_cfg3,4,"30,70,80,100,0,0,0,0",80,mod3_1_0.1,2.93704,25.3213,25.321300,8.621367,15.1424,17.047829,1.905429,svd_timeout,True,True,True,"64,65,66,67,60,61","62,63",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
